name;color1;color2;color3
Legia Warszawa;rgb(206,24,30);#FFF;rgb(0,126,55)
Lech Poznań;#fff;rgb(0,61,204);#fff
Pogoń Szczecin;rgba(102,5,32,0.8);rgba(0,26,117);#ffe630ff
Tech;rgb(105, 29, 181);rgba(123, 123, 42, 1);rgb(20, 17, 162)
South;#949492ff;rgb(211, 15, 34);#949492ff
